--------------------------------------------------------------------
TestCaseNum: 2a
Popln_Size: 20
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
104	75.08999999999999	[-0.472239    0.02056    -0.81225796 -0.16012401]	77.4
105	75.6	[-0.472239    0.02056    -0.81225796 -0.16012401]	77.4
106	75.96999999999998	[-0.472239    0.02056    -0.81225796 -0.16012401]	77.4
107	75.7	[-0.472239    0.02056    -0.81225796 -0.16012401]	77.4
108	76.25	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
109	76.66	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
110	76.69500000000002	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
111	76.32	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
112	77.12000000000002	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
113	76.84	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
114	77.17499999999998	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
115	77.16499999999999	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
116	77.24999999999997	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
117	77.32	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
118	77.145	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
119	77.155	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
120	77.375	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
121	77.30999999999997	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
122	77.30499999999999	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
123	77.17499999999998	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
124	77.375	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
125	77.46	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
126	77.31500000000001	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
127	77.505	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
128	77.22500000000001	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
129	77.54	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
130	77.21500000000002	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
131	77.53000000000002	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
132	77.11	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
133	77.64000000000001	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
134	77.48500000000001	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
135	77.51000000000002	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
136	77.54	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
137	77.575	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
138	77.61	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
139	77.45	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
140	77.545	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
141	77.345	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
142	77.56499999999998	[-0.49957236  0.02205146 -0.82985248 -0.2475602 ]	78.1
