--------------------------------------------------------------------
TestCaseNum: 2aa
Popln_Size: 20
Max_Generations: 500
Mutation_percent: 5
Num_Games: 10
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
183	13.875000000000004	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
184	13.49	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
185	13.580000000000002	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
186	13.49	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
187	13.55	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
188	13.934999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
189	13.64	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
190	13.694999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
191	13.52	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
192	13.895	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
193	13.809999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
194	13.74	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
195	13.315000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
196	13.819999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
197	13.504999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
198	13.800000000000002	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
199	13.75	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
200	13.505	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
201	13.86	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
202	14.035000000000002	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
203	13.605	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
204	13.775	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
205	13.440000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
206	13.645	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
207	13.74	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
208	13.525	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
209	13.715	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
210	13.735	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
211	13.709999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
212	13.425	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
213	13.460000000000003	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
214	13.65	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
215	13.690000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
216	13.535	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
217	13.7	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
218	13.930000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
219	13.649999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
220	13.86	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
221	14.024999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
222	13.574999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
223	13.645	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
224	13.974999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
225	13.745	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
226	13.549999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
227	13.484999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
228	13.819999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
229	14.189999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
230	13.995	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
231	13.665000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
232	13.534999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
233	13.680000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
234	13.764999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
235	13.654999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
236	13.599999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
237	13.794999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
238	13.75	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
239	13.905000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
240	13.755	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
241	13.690000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
242	13.389999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
243	13.915000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
244	13.689999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
245	13.874999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
246	13.569999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
247	13.575	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
248	14.089999999999998	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
249	14.035	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
250	13.875	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
251	13.584999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
252	13.914999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
253	14.059999999999997	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
254	13.894999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
255	13.805000000000001	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
256	13.459999999999999	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
257	13.654999999999996	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
258	13.89	[-0.63372328  0.25420227 -0.15992512 -0.71288146]	16.3
