--------------------------------------------------------------------
TestCaseNum: 1a
Popln_Size: 100
Max_Generations: 500
Mutation_percent: 5
Num_Games: 5
Max_Moves: 200
N_percent: 30
Selection: TS
Crossover: Cross1
--------------------------------------------------------------------

Gen no.	AvgFit	BestCandidate	BestFitness
209	78.29400000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
210	78.07200000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
211	78.24200000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
212	78.21600000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
213	78.27800000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
214	78.26400000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
215	78.23000000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
216	78.18600000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
217	78.32400000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
218	78.31400000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
219	78.22000000000008	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
220	78.37000000000003	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
221	78.31000000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
222	78.09800000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
223	78.30000000000004	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
224	78.38400000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
225	78.18400000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
226	78.31400000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
227	78.33000000000008	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
228	78.25600000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
229	78.33600000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
230	78.38600000000002	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
231	78.3320000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
232	78.18400000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
233	78.3320000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
234	78.10400000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
235	78.16600000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
236	78.27400000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
237	78.34800000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
238	78.34000000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
239	78.25800000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
240	78.31200000000008	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
241	78.24600000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
242	78.24400000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
243	78.2260000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
244	78.20200000000008	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
245	78.12800000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
246	77.35200000000009	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
247	78.26400000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
248	78.32000000000009	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
249	78.40600000000009	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
250	78.28200000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
251	78.24800000000008	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
252	78.30200000000008	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
253	78.2400000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
254	78.16400000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
255	78.27600000000007	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
256	78.0920000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
257	78.36800000000005	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
258	78.32800000000009	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
259	78.34000000000006	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
260	78.3920000000001	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
261	78.32400000000011	[-0.13575315  0.23127625 -0.95373101 -0.13593949]	79.0
